backend,k,q,sample,nanoseconds
naive,32,131,0,60978
naive,32,131,1,67502
naive,32,131,2,61525
naive,32,131,3,57806
naive,32,131,4,57804
naive,32,131,5,57647
naive,32,131,6,57576
fast,32,131,0,56738
fast,32,131,1,61128
fast,32,131,2,55916
fast,32,131,3,55660
fast,32,131,4,55537
fast,32,131,5,55526
fast,32,131,6,55443
naive,64,257,0,215587
naive,64,257,1,215334
naive,64,257,2,218088
naive,64,257,3,214735
naive,64,257,4,214674
naive,64,257,5,214701
naive,64,257,6,217500
fast,64,257,0,736017
fast,64,257,1,735617
fast,64,257,2,731251
fast,64,257,3,732728
fast,64,257,4,731995
fast,64,257,5,732492
fast,64,257,6,730161
naive,128,521,0,811540
naive,128,521,1,811577
naive,128,521,2,810141
naive,128,521,3,809912
naive,128,521,4,808696
naive,128,521,5,809568
naive,128,521,6,810016
fast,128,521,0,5600166
fast,128,521,1,5596776
fast,128,521,2,5595283
fast,128,521,3,5605317
fast,128,521,4,5591904
fast,128,521,5,5587521
fast,128,521,6,5588196
naive,256,1031,0,3141271
naive,256,1031,1,3154124
naive,256,1031,2,3143922
naive,256,1031,3,3153176
naive,256,1031,4,3202068
naive,256,1031,5,3175372
naive,256,1031,6,3189154
fast,256,1031,0,18871578
fast,256,1031,1,18789542
fast,256,1031,2,18807197
fast,256,1031,3,18785722
fast,256,1031,4,18783462
fast,256,1031,5,18784414
fast,256,1031,6,18797814
naive,512,2053,0,12123146
naive,512,2053,1,12106340
naive,512,2053,2,12092872
naive,512,2053,3,12094322
naive,512,2053,4,12236635
naive,512,2053,5,12110022
naive,512,2053,6,12089892
fast,512,2053,0,53695553
fast,512,2053,1,51138565
fast,512,2053,2,51869298
fast,512,2053,3,51618784
fast,512,2053,4,51363585
fast,512,2053,5,54810085
fast,512,2053,6,53227669
naive,1024,4099,0,46651694
naive,1024,4099,1,46915086
naive,1024,4099,2,46499810
naive,1024,4099,3,46557233
naive,1024,4099,4,46703888
naive,1024,4099,5,46641864
naive,1024,4099,6,46786532
fast,1024,4099,0,129828548
fast,1024,4099,1,128895933
fast,1024,4099,2,129535259
fast,1024,4099,3,138801831
fast,1024,4099,4,130875681
fast,1024,4099,5,129390909
fast,1024,4099,6,129153398
naive,2048,8209,0,185304547
naive,2048,8209,1,193262328
naive,2048,8209,2,185238440
fast,2048,8209,0,325752213
fast,2048,8209,1,329068833
fast,2048,8209,2,322422556
naive,4096,16411,0,743532718
naive,4096,16411,1,741343118
naive,4096,16411,2,747440205
fast,4096,16411,0,792567572
fast,4096,16411,1,769360367
fast,4096,16411,2,774174402
naive,8192,32771,0,2951669697
naive,8192,32771,1,2982468729
naive,8192,32771,2,3000263256
fast,8192,32771,0,1830613710
fast,8192,32771,1,1813250477
fast,8192,32771,2,1817595680
