mode,k,q,keygen_retries_total,sign_retries_total,peak_rss_kb
tensor_reference,8,37,2,0,3736
tensor_reference,16,67,1,0,3864
tensor_reference,32,131,4,0,5908
tensor_reference,48,193,1,0,9328
chord_tensor,8,37,2,0,9328
chord_tensor,16,67,2,0,9328
chord_tensor,32,131,1,0,9328
chord_tensor,48,193,1,0,9328
chord_structured,8,103,1,0,9328
chord_structured,16,67,3,0,9328
chord_structured,32,131,0,0,9328
chord_structured,48,389,1,0,9328
chord_labeled,8,103,1,0,9328
chord_labeled,16,331,0,0,9328
chord_labeled,32,1171,0,0,9328
chord_labeled,48,1747,0,0,9328
tri_chord,8,103,3,0,9328
tri_chord,16,67,2,0,9328
tri_chord,32,131,2,0,9328
tri_chord,48,389,0,0,9328
