ccts_k,mldsa,ccts_pk_bytes,mldsa_pk_bytes,pk_ratio_ccts_over_mldsa,ccts_sig_bytes,mldsa_sig_bytes,sig_ratio_ccts_over_mldsa,ccts_sk_bytes,mldsa_sk_bytes,sk_ratio_ccts_over_mldsa
8,ML-DSA-44,2774,1312,2.1143,64,2420,0.0264,523,2560,0.2043
8,ML-DSA-65,2774,1952,1.4211,64,3309,0.0193,523,4032,0.1297
8,ML-DSA-87,2774,2592,1.0702,64,4627,0.0138,523,4896,0.1068
16,ML-DSA-44,19094,1312,14.5534,96,2420,0.0397,1451,2560,0.5668
16,ML-DSA-65,19094,1952,9.7818,96,3309,0.0290,1451,4032,0.3599
16,ML-DSA-87,19094,2592,7.3665,96,4627,0.0207,1451,4896,0.2964
32,ML-DSA-44,141590,1312,107.9192,160,2420,0.0661,4843,2560,1.8918
32,ML-DSA-65,141590,1952,72.5359,160,3309,0.0484,4843,4032,1.2011
32,ML-DSA-87,141590,2592,54.6258,160,4627,0.0346,4843,4896,0.9892
48,ML-DSA-44,465814,1312,355.0412,224,2420,0.0926,10283,2560,4.0168
48,ML-DSA-65,465814,1952,238.6342,224,3309,0.0677,10283,4032,2.5503
48,ML-DSA-87,465814,2592,179.7122,224,4627,0.0484,10283,4896,2.1003
