mode,op,k,median_ref_us,median_mode_us,median_ratio_mode_over_ref,mann_whitney_p,cliffs_delta
chord_tensor,sign,8,20.5260,17.2760,0.8417,0.0000,0.9504
chord_tensor,sign,16,29.4855,30.1110,1.0212,0.0000,-0.3526
chord_tensor,sign,32,82.6690,84.8320,1.0262,0.0000,-0.6682
chord_tensor,sign,48,168.2095,181.0970,1.0766,0.0000,-0.8466
chord_tensor,verify,8,23.8800,19.2420,0.8058,0.0000,0.9957
chord_tensor,verify,16,73.3600,75.1700,1.0247,0.0000,-0.3465
chord_tensor,verify,32,470.7650,489.6910,1.0402,0.0000,-0.4683
chord_tensor,verify,48,1491.7995,1542.4250,1.0339,0.0000,-0.4131
chord_tensor,keygen,8,314.6630,279.3830,0.8879,0.0000,0.9644
chord_tensor,keygen,16,2644.5555,2600.6380,0.9834,0.0252,0.2372
chord_tensor,keygen,32,32388.1085,32756.7280,1.0114,0.0043,-0.3022
chord_tensor,keygen,48,154627.3755,157337.8730,1.0175,0.0374,-0.2206
chord_structured,sign,8,20.5260,17.4730,0.8513,0.0000,0.9722
chord_structured,sign,16,29.4855,34.3030,1.1634,0.0000,-0.9046
chord_structured,sign,32,82.6690,80.8110,0.9775,0.0000,0.3484
chord_structured,sign,48,168.2095,187.1740,1.1127,0.0000,-0.9476
chord_structured,verify,8,23.8800,19.7195,0.8258,0.0000,0.9921
chord_structured,verify,16,73.3600,77.3875,1.0549,0.0000,-0.6228
chord_structured,verify,32,470.7650,490.3675,1.0416,0.0000,-0.5191
chord_structured,verify,48,1491.7995,1807.6660,1.2117,0.0000,-0.9621
chord_structured,keygen,8,314.6630,287.7890,0.9146,0.0000,0.9894
chord_structured,keygen,16,2644.5555,2950.5750,1.1157,0.0000,-0.6800
chord_structured,keygen,32,32388.1085,34246.2180,1.0574,0.0000,-0.7233
chord_structured,keygen,48,154627.3755,174755.3550,1.1302,0.0000,-0.8272
