mode,k,q,pk_bytes,sk_bytes,sig_bytes
tensor_reference,8,37,2774,559,64
tensor_reference,16,67,19094,1487,96
tensor_reference,32,131,141590,4879,160
tensor_reference,48,193,465814,10319,224
chord_tensor,8,37,2774,579,64
chord_tensor,16,67,19094,1523,96
chord_tensor,32,131,141590,4947,160
chord_tensor,48,193,465814,10419,224
chord_structured,8,103,2774,664,64
chord_structured,16,67,19094,1656,96
chord_structured,32,131,141590,5176,160
chord_structured,48,389,465814,10744,224
chord_labeled,8,103,2774,736,64
chord_labeled,16,331,19094,1792,96
chord_labeled,32,1171,141590,5440,160
chord_labeled,48,1747,465814,11136,224
tri_chord,8,103,242,720,40
tri_chord,16,67,675,1730,50
tri_chord,32,131,2556,5284,83
tri_chord,48,389,5991,10884,130
