mode,k,q,op,n,mean_us,median_us,sd_us,iqr_us,p95_us,median_ci95_lo_us,median_ci95_hi_us
chord_structured,8,103,keygen,60,288.53,287.79,6.97,9.47,301.77,286.56,288.90
chord_tensor,8,37,keygen,60,281.34,279.38,12.43,10.23,298.43,277.95,281.44
tensor_reference,8,37,keygen,60,319.88,314.66,16.19,12.04,346.38,312.71,318.66
chord_structured,16,67,keygen,60,2946.30,2950.57,232.03,385.16,3367.78,2797.96,2993.77
chord_tensor,16,67,keygen,60,2613.48,2600.64,49.56,69.80,2698.18,2590.07,2623.63
tensor_reference,16,67,keygen,60,2704.23,2644.56,181.20,163.58,3120.48,2626.90,2657.62
chord_structured,32,131,keygen,60,34586.38,34246.22,1529.64,1647.52,37984.80,33848.43,34628.17
chord_tensor,32,131,keygen,60,33867.95,32756.73,2204.60,2923.54,38104.47,32426.27,33559.95
tensor_reference,32,131,keygen,60,32790.25,32388.11,1171.98,900.45,35351.34,32212.67,32680.36
chord_structured,48,389,keygen,60,172627.07,174755.35,8845.73,12804.23,183242.70,173784.32,176447.83
chord_tensor,48,193,keygen,60,159411.40,157337.87,7620.89,9756.83,174454.14,154915.49,160006.76
tensor_reference,48,193,keygen,60,156985.72,154627.38,7998.17,5765.46,171183.81,153619.76,156451.23
chord_structured,8,103,sign,120,17.77,17.47,0.84,0.09,19.15,17.46,17.49
chord_tensor,8,37,sign,120,17.68,17.28,2.08,0.50,19.07,16.99,17.34
tensor_reference,8,37,sign,120,21.26,20.53,1.76,0.24,24.34,20.51,20.55
chord_structured,16,67,sign,120,36.11,34.30,3.97,2.03,46.14,34.25,34.38
chord_tensor,16,67,sign,120,30.48,30.11,2.07,0.74,32.72,30.07,30.15
tensor_reference,16,67,sign,120,30.80,29.49,5.29,0.18,32.82,29.46,29.51
chord_structured,32,131,sign,120,83.16,80.81,4.64,3.48,92.89,80.67,82.31
chord_tensor,32,131,sign,120,85.78,84.83,2.22,1.84,88.44,84.75,84.89
tensor_reference,32,131,sign,120,83.69,82.67,2.92,1.90,88.92,82.61,82.76
chord_structured,48,389,sign,120,191.70,187.17,9.54,5.54,214.26,186.64,188.38
chord_tensor,48,193,sign,120,181.21,181.10,6.57,6.03,195.91,178.75,181.77
tensor_reference,48,193,sign,120,168.98,168.21,6.08,5.57,182.41,166.69,168.37
chord_structured,8,103,verify,120,19.74,19.72,0.61,0.08,19.81,19.71,19.73
chord_tensor,8,37,verify,120,19.27,19.24,0.71,0.50,19.82,19.23,19.27
tensor_reference,8,37,verify,120,23.82,23.88,1.40,0.15,24.06,23.86,23.90
chord_structured,16,67,verify,120,78.99,77.39,4.79,2.15,91.80,77.20,79.11
chord_tensor,16,67,verify,120,75.27,75.17,3.90,2.69,80.89,73.84,75.23
tensor_reference,16,67,verify,120,75.63,73.36,9.22,1.94,94.84,73.32,73.40
chord_structured,32,131,verify,120,494.67,490.37,28.73,22.77,551.33,487.09,492.96
chord_tensor,32,131,verify,120,491.51,489.69,29.58,25.25,527.01,488.74,492.75
tensor_reference,32,131,verify,120,473.31,470.76,17.50,15.01,499.13,468.46,477.04
chord_structured,48,389,verify,120,1828.48,1807.67,95.25,63.62,2036.04,1802.14,1810.97
chord_tensor,48,193,verify,120,1569.93,1542.42,91.41,120.32,1740.41,1527.72,1562.90
tensor_reference,48,193,verify,120,1521.48,1491.80,95.75,72.55,1749.09,1484.05,1499.82
