mode,k,q,op,key_index,sample_index,nanoseconds
tensor_reference,8,37,keygen,0,0,308726
tensor_reference,8,37,keygen,0,1,308836
tensor_reference,8,37,keygen,0,2,329391
tensor_reference,8,37,keygen,0,3,306002
tensor_reference,8,37,keygen,0,4,312270
tensor_reference,8,37,keygen,0,5,315596
tensor_reference,8,37,keygen,0,6,308702
tensor_reference,8,37,keygen,0,7,311742
tensor_reference,8,37,keygen,0,8,311100
tensor_reference,8,37,keygen,0,9,307053
tensor_reference,8,37,keygen,0,10,318324
tensor_reference,8,37,keygen,0,11,323263
tensor_reference,8,37,keygen,0,12,306503
tensor_reference,8,37,keygen,0,13,298730
tensor_reference,8,37,keygen,0,14,302748
tensor_reference,8,37,keygen,0,15,304725
tensor_reference,8,37,keygen,0,16,311586
tensor_reference,8,37,keygen,0,17,304107
tensor_reference,8,37,keygen,0,18,301227
tensor_reference,8,37,keygen,0,19,297110
tensor_reference,8,37,keygen,1,0,305377
tensor_reference,8,37,keygen,1,1,299305
tensor_reference,8,37,keygen,1,2,298679
tensor_reference,8,37,keygen,1,3,309382
tensor_reference,8,37,keygen,1,4,294210
tensor_reference,8,37,keygen,1,5,318166
tensor_reference,8,37,keygen,1,6,299749
tensor_reference,8,37,keygen,1,7,308971
tensor_reference,8,37,keygen,1,8,293755
tensor_reference,8,37,keygen,1,9,287463
tensor_reference,8,37,keygen,1,10,290581
tensor_reference,8,37,keygen,1,11,286565
tensor_reference,8,37,keygen,1,12,296221
tensor_reference,8,37,keygen,1,13,289901
tensor_reference,8,37,keygen,1,14,289572
tensor_reference,8,37,keygen,1,15,294942
tensor_reference,8,37,keygen,1,16,292689
tensor_reference,8,37,keygen,1,17,294198
tensor_reference,8,37,keygen,1,18,290542
tensor_reference,8,37,keygen,1,19,291827
tensor_reference,8,37,keygen,2,0,302435
tensor_reference,8,37,keygen,2,1,294760
tensor_reference,8,37,keygen,2,2,292646
tensor_reference,8,37,keygen,2,3,292233
tensor_reference,8,37,keygen,2,4,289841
tensor_reference,8,37,keygen,2,5,302743
tensor_reference,8,37,keygen,2,6,287916
tensor_reference,8,37,keygen,2,7,282646
tensor_reference,8,37,keygen,2,8,284509
tensor_reference,8,37,keygen,2,9,278127
tensor_reference,8,37,keygen,2,10,281672
tensor_reference,8,37,keygen,2,11,281551
tensor_reference,8,37,keygen,2,12,298495
tensor_reference,8,37,keygen,2,13,280176
tensor_reference,8,37,keygen,2,14,275379
tensor_reference,8,37,keygen,2,15,285061
tensor_reference,8,37,keygen,2,16,284843
tensor_reference,8,37,keygen,2,17,286480
tensor_reference,8,37,keygen,2,18,282364
tensor_reference,8,37,keygen,2,19,281631
tensor_reference,8,37,sign,0,0,20296
tensor_reference,8,37,sign,0,1,18561
tensor_reference,8,37,sign,0,2,18421
tensor_reference,8,37,sign,0,3,18456
tensor_reference,8,37,sign,0,4,18547
